Supplemental Table 1: Secreted Proteins Across Multi-Omics Analyses				
Gene	Correlation with CD8 T cell signature	Down in multiple tumor types	High expression in Fibroblast	Up in ICB responders
BPI	No	Yes	No	No
BTC	No	Yes	No	No
BTD	No	Yes	No	No
C16orf89	No	Yes	No	No
C1QTNF2	No	Yes	No	No
C1QTNF7	No	Yes	No	No
C1QTNF9	No	Yes	No	No
C21orf62	No	Yes	No	No
C6	No	Yes	No	No
CCBE1	No	Yes	No	No
CCL14	No	Yes	No	No
CCL16	No	Yes	No	No
CDCP2	No	Yes	No	No
CDNF	No	Yes	No	No
CFD	No	Yes	No	Yes
CFI	No	Yes	No	No
CILP	No	Yes	No	Yes
CLEC3B	No	Yes	No	No
CLU	No	Yes	No	No
CMA1	No	Yes	No	No
COL4A3	No	Yes	No	No
COL4A4	No	Yes	No	No
COL4A6	No	Yes	No	No
COL6A6	No	Yes	No	No
CRHBP	No	Yes	No	Yes
CRTAC1	No	Yes	No	No
CSF3	No	Yes	No	No
CTF1	No	Yes	No	No
CYB5D2	No	Yes	No	No
CYTL1	No	Yes	No	No
DEFB124	No	Yes	No	No
DEFB132	No	Yes	No	No
DHH	No	Yes	No	No
DHRS4L2	No	Yes	No	No
DHRS7C	No	Yes	No	No
DNASE1L3	No	Yes	No	No
EFEMP1	No	Yes	No	No
ELANE	No	Yes	No	No
EMILIN1	No	Yes	No	No
ENAM	No	Yes	No	No
ENTPD5	No	Yes	No	No
F10	No	Yes	No	No
F11	No	Yes	No	No
F8	No	Yes	No	No
FAM180A	No	Yes	No	Yes
FAM180B	No	Yes	No	No
FBLN1	No	Yes	No	No
FCER2	No	Yes	No	No
FCN2	No	Yes	No	No
FGF10	No	Yes	No	No
FGF16	No	Yes	No	No
FREM1	No	Yes	No	No
FRZB	No	Yes	No	No
GDF7	No	Yes	No	No
GFOD1	No	Yes	No	No
GH1	No	Yes	No	No
GHR	No	Yes	No	No
GLT1D1	No	Yes	No	No
GPLD1	No	Yes	No	No
GPX3	No	Yes	No	No
GREM2	No	Yes	No	No
GSN	No	Yes	No	No
HBEGF	No	Yes	No	No
HHIP	No	Yes	No	No
HPSE2	No	Yes	No	No
HYAL1	No	Yes	No	No
IGFBP4	No	Yes	No	No
IGFBP5	No	Yes	No	No
IGSF10	No	Yes	No	No
IL11RA	No	Yes	No	No
IL13	No	Yes	No	No
IL17B	No	Yes	No	No
IL1R1	No	Yes	No	No
IL1RL1	No	Yes	No	No
IL33	No	Yes	No	Yes
IL6	No	Yes	No	No
IL6R	No	Yes	No	Yes
IL6ST	No	Yes	No	Yes
ITIH3	No	Yes	No	No
ITIH5	No	Yes	No	No
KL	No	Yes	No	No
LCN10	No	Yes	No	No
LCN6	No	Yes	No	No
LEFTY2	No	Yes	No	No
LEP	No	Yes	No	Yes
LGI4	No	Yes	No	No
LPA	No	Yes	No	No
LTBP4	No	Yes	No	No
LTF	No	Yes	No	No
MAMDC2	No	Yes	No	No
MASP1	No	Yes	No	No
MASP2	No	Yes	No	No
MATN2	No	Yes	No	No
MGP	No	Yes	No	No
MMRN1	No	Yes	No	No
MYOC	No	Yes	No	No
NCAM1	No	Yes	No	No
NRG2	No	Yes	No	No
NTF3	No	Yes	No	No
NTN4	No	Yes	No	No
NXPH3	No	Yes	No	Yes
OGN	No	Yes	No	No
OLFML2A	No	Yes	No	No
OMD	No	Yes	No	Yes
OSTN	No	Yes	No	No
PAMR1	No	Yes	No	No
PCOLCE2	No	Yes	No	Yes
PDGFD	No	Yes	No	No
PEBP4	No	Yes	No	No
PGA3	No	Yes	No	No
PGA4	No	Yes	No	No
PGA5	No	Yes	No	No
PGLYRP1	No	Yes	No	No
PLA2G2A	No	Yes	No	No
PLA2G5	No	Yes	No	No
PLAC9	No	Yes	No	No
PLG	No	Yes	No	No
PM20D1	No	Yes	No	Yes
PTX3	No	Yes	No	No
RELN	No	Yes	No	No
RNASE4	No	Yes	No	No
RNLS	No	Yes	No	Yes
RSPO1	No	Yes	No	No
RSPO3	No	Yes	No	No
SCRG1	No	Yes	No	No
SCUBE1	No	Yes	No	No
SEMA3B	No	Yes	No	No
SEMA3D	No	Yes	No	No
SEMA3G	No	Yes	No	No
SERPINA5	No	Yes	No	Yes
SFRP5	No	Yes	No	No
SHBG	No	Yes	No	No
SLIT2	No	Yes	No	Yes
SMPD1	No	Yes	No	No
